step,ax,ay,aloss,sx,sy,sloss
215,-1.21999,1.49451,4.93213,-1.26055,1.59615,5.11522
216,-1.21838,1.49057,4.92496,-1.25931,1.59289,5.10941
217,-1.21676,1.48663,4.91777,-1.25804,1.58962,5.10358
218,-1.21514,1.48267,4.91057,-1.25672,1.58637,5.09772
219,-1.2135,1.47871,4.90334,-1.25538,1.58311,5.09182
220,-1.21187,1.47474,4.8961,-1.25404,1.57983,5.0859
221,-1.21023,1.47076,4.88883,-1.25277,1.5765,5.07997
222,-1.20858,1.46677,4.88154,-1.25146,1.57318,5.07401
223,-1.20692,1.46277,4.87424,-1.25012,1.56986,5.06802
224,-1.20526,1.45876,4.86691,-1.24875,1.56653,5.062
225,-1.2036,1.45475,4.85956,-1.24737,1.56319,5.05595
226,-1.20192,1.45072,4.85219,-1.24607,1.5598,5.04989
227,-1.20025,1.44669,4.84481,-1.24473,1.55641,5.0438
228,-1.19856,1.44265,4.8374,-1.24335,1.55303,5.03767
229,-1.19687,1.4386,4.82997,-1.24194,1.54964,5.03152
230,-1.19518,1.43455,4.82252,-1.24053,1.54623,5.02533
231,-1.19348,1.43048,4.81505,-1.2392,1.54277,5.01914
232,-1.19177,1.42641,4.80756,-1.23783,1.53931,5.01291
233,-1.19006,1.42232,4.80006,-1.23641,1.53586,5.00665
234,-1.18834,1.41823,4.79253,-1.23497,1.53241,5.00035
235,-1.18661,1.41414,4.78498,-1.23352,1.52893,4.99403
236,-1.18488,1.41003,4.77741,-1.23215,1.5254,4.98769
237,-1.18314,1.40591,4.76982,-1.23075,1.52187,4.98132
238,-1.1814,1.40179,4.76221,-1.22929,1.51835,4.97492
239,-1.17965,1.39766,4.75458,-1.22781,1.51483,4.96848
240,-1.1779,1.39352,4.74693,-1.22632,1.51128,4.96201
241,-1.17614,1.38937,4.73926,-1.22492,1.50768,4.95552
242,-1.17437,1.38522,4.73158,-1.22348,1.50407,4.949
243,-1.1726,1.38106,4.72387,-1.22198,1.50048,4.94245
244,-1.17082,1.37689,4.71614,-1.22046,1.49688,4.93586
245,-1.16903,1.37271,4.70839,-1.21893,1.49326,4.92923
246,-1.16724,1.36852,4.70062,-1.21749,1.48958,4.92259
247,-1.16545,1.36432,4.69283,-1.21601,1.4859,4.91592
248,-1.16364,1.36012,4.68502,-1.21448,1.48223,4.9092
249,-1.16183,1.35591,4.67719,-1.2129,1.47856,4.90245
